0,DFS,BFS,UCS,,
1,0.069615602,0.101242065,0.071926355,,
2,0.003890753,0.009401321,0.007040501,,1000
3,0.253443003,0.197012186,0.121503115,,
4,0.002997398,0.008998394,0.007911205,,
5,0,212.7240245,157.5026531,,
6,0.013032913,0.015529156,0.015944004,,
7,0.594836712,0.964583397,0.714101315,,
8,0.08434701,0.219148636,0.234815121,,
9,0.301252604,0.010903835,0.013406754,,
10,0.015935659,0.018935204,0.020202875,,
11,0.020026445,0.019904375,0.019971609,,
12,0.158441305,0.101223946,0.106099367,,
13,0.217540026,0.1661551,0.207343102,,
14,4.335035086,3.079730511,3.61292696,,
15,0.188528299,0.298265696,0.328128815,,
16,0,24.1237483,22.08950424,,
17,25.10556,24.40730286,25.74931264,,
18,0,0,0,,
